hora,tipo_sinal,direcao,tamanho_canal_pct_atr,distancia_sma_pct_atr,rsi,vela_gatilho_corpo_pct,aceleracao_velas_contra,vela_1_antes_corpo_pct,vela_1_antes_favor,vela_2_antes_corpo_pct,vela_2_antes_favor,alvo_win
15,0,-1,0.730050933786288,0.7859083191850812,49.01923125092121,0.6349206349204335,0,0.4042553191492478,1,0.8108108108110622,1,1
15,0,-1,0.6991869918701048,0.9645528455279444,46.85436297059549,0.3571428571428854,1,0.6349206349204335,-1,0.4042553191492478,1,1
15,0,-1,0.3602305475505323,0.6488472622475032,46.55880670780187,0.3611111111110939,1,0.6399999999995382,-1,0.4634146341463744,1,1
18,0,1,1.3983050847454757,2.957203389830549,69.47463866873257,0.2203389830508347,0,0.0588235294118223,1,0.1142857142858049,1,1
18,0,1,1.4203730272594484,3.421664275466356,69.6777208729572,0.274999999999889,0,0.6296296296296601,1,0.2203389830508347,-1,1
19,0,-1,0.4858934169275986,2.6824451410655072,37.06809311787373,0.3561643835614855,0,0.0555555555556069,1,0.6823529411764859,1,1
19,0,-1,0.4606240713221466,2.489747399702776,37.202688438334896,0.0857142857142494,1,0.3561643835614855,-1,0.0555555555556069,1,1
21,0,1,0.8333333333332478,5.026543209876105,50.96543037011772,0.694444444444316,0,0.2790697674415242,1,0.8493150684931007,1,1
11,0,-1,0.4333868378812108,3.105939004815463,39.37404111274921,0.8108108108110622,0,0.2361111111110982,1,0.7750000000001666,1,0
15,0,-1,0.7350689127106552,2.224196018376855,37.07177269875268,0.6399999999999822,0,0.7674418604651043,1,0.2031250000002981,1,1
17,0,-1,0.865874363327699,6.447028862478837,28.071935818103995,0.6744186046510428,0,0.2325581395348957,1,0.2641509433962106,1,1
17,0,-1,0.8978873239436599,6.377816901408556,29.539637312121783,0.1874999999999132,0,0.1632653061221253,1,0.6744186046510428,-1,1
19,1,-1,0.3508771929824846,0.2986842105263851,55.34176248012042,0.4415584415584865,0,1.0,1,0.619047619047317,-1,1
20,1,1,0.2773497688749427,2.747611710323412,56.685702201799856,0.1294117647059438,0,0.9268292682927488,1,0.0227272727274218,-1,1
20,0,1,0.7027818448023835,1.7931185944363954,50.34431330053842,0.6626506024096128,0,0.7045454545455349,1,0.3456790123457602,1,1
20,0,1,0.7283763277693914,2.027465857359701,51.66258531119647,0.4000000000002537,1,0.6626506024096128,-1,0.7045454545455349,1,1
12,0,1,0.5820105820104949,3.669488536155284,52.3083039861086,0.2837837837838567,1,0.5394736842101957,-1,0.5555555555555098,1,1
12,0,1,0.3448275862067873,4.026872770511673,62.60461221784276,0.7052631578948426,0,0.6507936507935501,1,0.4210526315786193,1,1
14,0,1,0.4820936639116515,4.623278236914692,66.6609676874692,0.711864406779645,1,0.9310344827586736,-1,0.3666666666663829,1,1
15,0,1,1.189427312775339,4.296328928047272,58.82237789748153,0.0666666666663459,0,0.5147058823527106,1,0.84210526315803,1,1
16,0,1,0.7875185735514586,1.0552748885584993,48.42145768830743,0.864864864865173,0,0.7536231884054986,1,0.3124999999999783,1,1
